date,type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Diperbarui 1 jam lalu,Rumah Second,"Rp11,7 M","Tanah Abang, Kota Jakarta Pusat",6 KT,LT 190m²,LB 214m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp4,6 M","Tanjung Priok, Kota Jakarta Utara",4 KT,LT 144m²,LB 250m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp6,7 M","Pulogadung (Pulo Gadung), Kota Jakarta Timur",3 KT,LT 232m²,LB 200m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp13,1 M","Ciracas, Kota Jakarta Timur",8 KT,LT 600m²,LB 800m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp13,1 M","Ciracas, Kota Jakarta Timur",8 KT,LT 600m²,LB 800m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp13,1 M","Ciracas, Kota Jakarta Timur",8 KT,LT 600m²,LB 800m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp3,5 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 105m²,LB 180m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp2,4 M","Pesanggrahan, Kota Jakarta Selatan",3 KT,LT 135m²,LB 120m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp1,3 M","Kembangan, Kota Jakarta Barat",2 KT,LT 96m²,LB 70m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp3,3 M","Tanjung Priok, Kota Jakarta Utara",3 KT,LT 128m²,LB 100m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp13,9 M","Tebet, Kota Jakarta Selatan",4 KT,LT 307m²,LB 432m²,SHM
Diperbarui 2 jam lalu,Rumah Second,Rp21 M,"Cilandak, Kota Jakarta Selatan",4 KT,LT 400m²,LB 1000m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp15,5 M","Cipayung, Kota Jakarta Timur",6 KT,LT 538m²,LB 800m²,SHM
Diperbarui 2 jam lalu,Rumah Second,Rp450 Jt,"Kalideres, Kota Jakarta Barat",3 KT,LT 70m²,LB 70m²,
Diperbarui 2 jam lalu,Rumah Second,"Rp1,3 M","Pesanggrahan, Kota Jakarta Selatan",2 KT,LT 65m²,LB 50m²,SHM
Diperbarui 2 jam lalu,Rumah Second,Rp14 M,"Kebayoran Baru, Kota Jakarta Selatan",3 KT,LT 276m²,LB 224m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp1,6 M","Cilincing, Kota Jakarta Utara",4 KT,LT 67m²,LB 99m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp2,2 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 90m²,LB 172m²,HGB
Diperbarui 2 jam lalu,Rumah Second,Rp600 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 60m²,LB 45m²,SHM
Diperbarui 2 jam lalu,Rumah Second,Rp680 Jt,"Kalideres, Kota Jakarta Barat",2 KT,LT 60m²,LB 60m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp1,4 M","Cipayung, Kota Jakarta Timur",3 KT,LT 89m²,LB 120m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp5,9 M","Pasar Minggu, Kota Jakarta Selatan",4 KT,LT 155m²,LB 273m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp3,3 M","Cakung, Kota Jakarta Timur",4 KT,LT 200m²,LB 354m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp2,4 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 93m²,LB 140m²,SHM
Diperbarui 2 jam lalu,Rumah Second,Rp9 M,"Pal Merah (Palmerah), Kota Jakarta Barat",4 KT,LT 398m²,LB 500m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp7,5 M","Setiabudi (Setia Budi), Kota Jakarta Selatan",7 KT,LT 206m²,LB 670m²,SHM
Diperbarui 2 jam lalu,Rumah Second,"Rp6,5 M","Duren Sawit, Kota Jakarta Timur",3 KT,LT 250m²,LB 350m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp4,4 M","Pesanggrahan, Kota Jakarta Selatan",3 KT,LT 340m²,LB 450m²,SHM
Diperbarui 3 jam lalu,Rumah Second,Rp760 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 60m²,LB 60m²,SHM
Diperbarui 3 jam lalu,Rumah Second,Rp900 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 51m²,LB 75m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp2,5 M","Jagakarsa, Kota Jakarta Selatan",3 KT,LT 116m²,LB 125m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp4,9 M","Pasar Minggu, Kota Jakarta Selatan",3 KT,LT 557m²,LB 120m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp2,1 M","Kembangan, Kota Jakarta Barat",3 KT,LT 168m²,LB 140m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp1,9 M","Pesanggrahan, Kota Jakarta Selatan",4 KT,LT 120m²,LB 90m²,SHM
Diperbarui 3 jam lalu,Rumah Second,Rp14 M,"Mampang Prapatan, Kota Jakarta Selatan",6 KT,LT 340m²,LB 300m²,SHM
Diperbarui 3 jam lalu,Rumah Second,Rp26 M,"Pancoran, Kota Jakarta Selatan",5 KT,LT 459m²,LB 650m²,SHM
Diperbarui 3 jam lalu,Rumah Second,Rp602 Jt,"Pasar Rebo, Kota Jakarta Timur",2 KT,LT 64m²,LB 50m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp5,5 M","Ciracas, Kota Jakarta Timur",5 KT,LT 519m²,LB 370m²,SHM
Diperbarui 3 jam lalu,Rumah Second,"Rp775,5 Jt","Cipayung, Kota Jakarta Timur",3 KT,LT 65m²,LB 60m²,SHM
Diperbarui 4 jam lalu,Rumah Second,Rp700 Jt,"Cipayung, Kota Jakarta Timur",2 KT,LT 49m²,LB 60m²,SHM
Diperbarui 4 jam lalu,Rumah Second,"Rp6,5 M","Setiabudi (Setia Budi), Kota Jakarta Selatan",3 KT,LT 148m²,LB 130m²,
Diperbarui 4 jam lalu,Rumah Second,Rp90 M,"Jagakarsa, Kota Jakarta Selatan",6 KT,LT 2100m²,LB 600m²,
Diperbarui 4 jam lalu,Rumah Second,Rp43 M,"Setiabudi (Setia Budi), Kota Jakarta Selatan",5 KT,LT 740m²,LB 800m²,
Diperbarui 4 jam lalu,Rumah Second,Rp795 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 49m²,LB 60m²,SHM
Diperbarui 4 jam lalu,Rumah Second,Rp8 M,"Pesanggrahan, Kota Jakarta Selatan",6 KT,LT 537m²,LB 928m²,
Diperbarui 4 jam lalu,Rumah Second,Rp40 M,"Kebayoran Baru, Kota Jakarta Selatan",4 KT,LT 385m²,LB 300m²,
Diperbarui 4 jam lalu,Rumah Second,"Rp1,4 M","Cakung, Kota Jakarta Timur",4 KT,LT 169m²,LB 100m²,SHM
Diperbarui 4 jam lalu,Rumah Second,Rp18 M,"Ciracas, Kota Jakarta Timur",9 KT,LT 704m²,LB 1000m²,
